1,82.837
2,93.628
3,100.022
4,79.132
5,46.466
6,34.717
7,11.477
8,9.39
9,7.969
10,10.965
11,7.412
12,10.781
13,10.951
14,9.2
15,9.632
16,10.74
17,23.041
18,7.787
19,13.547
20,17.911
21,9.069
22,3.798
23,5.515
24,4.987
25,7.113
26,6.769
27,11.643
28,2.734
29,6.988
30,5.755
31,26.68
32,6.757
33,5.944
34,14.204
35,6.971
36,5.991
37,4.647
38,5.081
39,8.747
40,3.994
41,6.949
42,7.985
43,7.075
44,6.817
45,6.75
46,6.989
47,16.913
48,10.962
49,4.225
50,8.254
51,17.905
52,18.754
53,7.191
54,4.12
55,7.591
56,22.099
57,6.837
58,3.995
59,9.717
60,5.27
61,7.047
62,7.767
63,14.918
64,7.169
65,10.013
66,6.535
67,7.173
68,13.969
69,19.439
70,7.088
71,9.258
72,8.687
73,7.61
74,9.239
75,2.77
76,12.504
77,6.986
78,6.945
79,4.963
80,8.774
81,17.356
82,7.105
83,5.761
84,6.955
85,18.952
86,7.007
87,12.973
88,8.368
89,3.841
90,13.832
91,13.731
92,8.013
93,8.881
94,4.351
95,5.861
96,4.192
97,10.781
98,10.043
99,3.918
100,15.957
101,1.994
102,19.981
